Date,Time,Sport,Home_team,Away_team,Venue,Competition
2025/05/14,20:00,Football,Willem II,PEC Zwolle,Koning Willem II Stadion,Eredivisie
2025/05/14,20:00,Football,FC Utrecht,Sparta Rotterdam,Stadion Galgenwaard,Eredivisie
2025/05/14,20:00,Football,N.E.C.,NAC Breda,Goffertstadion,Eredivisie
2025/05/18,14:30,Football,RKC Waalwijk,Go Ahead Eagles,Maalwater Stadion,Eredivisie
2025/05/18,14:30,Football,Heracles Almelo,N.E.C.,Erve Asito,Eredivisie
2025/05/18,14:30,Football,Sparta Rotterdam,PSV,Sparta Stadion,Eredivisie
2025/05/18,14:30,Football,NAC Breda,Willem II,Rat Verlegh Stadion,Eredivisie
2025/05/18,14:30,Football,PEC Zwolle,FC Groningen,MAC3PARK Stadion,Eredivisie
2025/05/18,14:30,Football,AZ,Almere City FC,AFAS Stadion,Eredivisie
2025/05/18,14:30,Football,Fortuna Sittard,FC Utrecht,Fortuna Sittard Stadion,Eredivisie
2025/05/18,14:30,Football,sc Heerenveen,Feyenoord,Abe Lenstra Stadion,Eredivisie
2025/05/18,14:30,Football,Ajax,FC Twente,Johan Cruyff Arena,Eredivisie
