Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Basketball,United Kingdom,Manchester Basketball,National Basketball Performance Centre (Manchester),"[53.459975400000005, -2.1913764640403306]",National Basketball Performance Centre (Manchester),Manchester Basketball
Basketball,United Kingdom,Leicester Riders,Mattioli Arena (Leicester),"[52.643897550000005, -1.1309708002941883]",Mattioli Arena (Leicester),Leicester Riders
Basketball,United Kingdom,Newcastle Eagles,Vertu Motors Arena (Newcastle),"[54.9635734, -1.6369859528154846]",Vertu Motors Arena (Newcastle),Newcastle Eagles
Basketball,United Kingdom,Sheffield Sharks,Canon Medical Arena (Sheffield),"[53.39484285, -1.425324722042221]",Canon Medical Arena (Sheffield),Sheffield Sharks
Basketball,United Kingdom,Cheshire Phoenix,Cheshire Oaks Arena (Ellesmere Port),"[]",Cheshire Oaks Arena (Ellesmere Port),Cheshire Phoenix
Basketball,United Kingdom,Bristol Flyers,SGS WISE Arena (Bristol),"[]",SGS WISE Arena (Bristol),Bristol Flyers


Basketball,United Kingdom,Hemel Storm,Hemel Hempstead Leisure Centre (Hemel Hempstead),"[]",Hemel Hempstead Leisure Centre (Hemel Hempstead),Hemel Storm


Basketball,United Kingdom,Manchester Basketball W,National Basketball Performance Centre (Manchester),"[53.459975400000005, -2.1913764640403306]",National Basketball Performance Centre (Manchester),Manchester Basketball W
Basketball,United Kingdom,Sheffield Hatters W,All Saints Sports Centre (Sheffield),"[53.37336145, -1.4556810061139893]",All Saints Sports Centre (Sheffield),Sheffield Hatters W
Basketball,United Kingdom,Cardiff Met Archers W,Archers Arena (Cardiff),"[51.5093646, -3.159268670504172]",Archers Arena (Cardiff),Cardiff Met Archers W
Basketball,United Kingdom,Essex Rebels W,Essex Sports Arena (Essex),"[]",Essex Sports Arena (Essex),Essex Rebels W
Basketball,United Kingdom,Caledonia Gladiators W,Playsport Arena (East Kilbride),"[]",Playsport Arena (East Kilbride),Caledonia Gladiators W
Basketball,United Kingdom,BA London Lions W,Barking Abbey School (London),"[51.54367045, 0.10349826120080571]",Barking Abbey School (London),BA London Lions W
Basketball,United Kingdom,Newcastle Eagles W,Vertu Motors Arena (Newcastle),"[54.9635734, -1.6369859528154846]",Vertu Motors Arena (Newcastle),Newcastle Eagles W
Basketball,United Kingdom,Nottingham Wildcats W,Nottingham Wildcats Arena (Nottingham),"[52.955914750000005, -1.1118109362908344]",Nottingham Wildcats Arena (Nottingham),Nottingham Wildcats W
Basketball,United Kingdom,Durham Palatinates W,Maiden Castle (Durham),"[54.766334, -1.5577792443032714]",Maiden Castle (Durham),Durham Palatinates W
Basketball,United Kingdom,Oaklands Wolves W,Oaklands College (St Albans),"[51.755651799999995, -0.2863574288731814]",Oaklands College (St Albans),Oaklands Wolves W
Basketball,United Kingdom,Leicester Riders W,Netball Centre (Leicester),"[]",Netball Centre (Leicester),Leicester Riders W




Football,Albania,Laci,Stadiumi Laçi (Laçi),"[]",,
Football,Albania,Dinamo Tirana,Stadiumi Niko Dovana (Durrës),"[41.32613845, 19.44973695075805]",,
Football,Albania,Skenderbeu,Skënderbeu Stadium (Korçë),"[40.62615035, 20.782802696824284]",,
Football,Albania,Partizani,Arena e Demave (Tirana),"[]",,
Football,Albania,Teuta,Stadiumi Niko Dovana (Durrës),"[41.32613845, 19.44973695075805]",,
Football,Albania,AF Elbasani,Elbasan Arena (Elbasani),"[41.1159505, 20.091941797554746]",,
Football,Albania,Bylis,Stadiumi Adush Muca (Ballsh),"[40.60184145, 19.741018663809665]",,
Football,Albania,Egnatia,Egnatia Arena (Rrogozhinë),"[41.076436156067246, 19.66154171172413]",,
Football,Albania,Vllaznia,Loro Borici Stadium (Shkodër),"[42.069995199999994, 19.506577321922485]",,
Football,Albania,KF Tirana,Selman Stërmasi Stadium (Tirana),"[41.3189492, 19.8112489803893]",,
Football,Albania,Erzeni,Demrozi Stadium (Rrogozhinë),"[]",,
Football,Albania,Apolonia Fier,Stadiumi Loni Papuciu (Fier),"[40.72086745, 19.552025831499886]",,
Football,Albania,Flamurtari,Stadiumi Flamurtari (Vlorë),"[40.45598095, 19.488842849729927]",,
Football,Albania,Kukesi,Kukes Arena (Kukës),"[]",,
Football,Andorra,Inter Escaldes,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,Pas de la Casa,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,UE Santa Coloma,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,FC Santa Coloma,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,Ordino,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,Esperanca,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,La Massana,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,Penya,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,Atletic Escaldes,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Andorra,FC Rangers,Centre d'Entrenament de la FAF (Andorra la Vella),"[42.49771085, 1.5076669975102406]",,
Football,Austria,Sturm Graz,Merkur-Arena (Graz),"[47.0463666, 15.454008021301794]",,
Football,Austria,Altach,Cashpoint-Arena (Altach),"[]",,
Football,Austria,SK Rapid,Allianz Stadion (Vienna),"[48.19801015, 16.265155732593886]",,
Football,Austria,A. Klagenfurt,Wörthersee Stadion (Klagenfurt),"[46.608792550000004, 14.27743594022694]",,
Football,Austria,Tirol,Tivoli Stadion Tirol (Innsbruck),"[47.255878949999996, 11.412067950229543]",,
Football,Austria,LASK,Raiffeisen Arena (Linz),"[48.2935925, 14.276558003642862]",,
Football,Austria,BW Linz,Hofmann Personal Stadion (Linz),"[48.31623775, 14.299146400091619]",,
Football,Austria,Salzburg,Red Bull Arena (Salzburg),"[47.8163956, 12.998243910546709]",,
Football,Austria,Wolfsberger AC,Lavanttal-Arena (Wolfsberg),"[46.82615915, 14.851089164236985]",,
Football,Austria,Grazer AK,Merkur-Arena (Graz),"[47.0463666, 15.454008021301794]",,
Football,Austria,Hartberg,Stadion Hartberg (Hartberg),"[47.2810655, 15.97785100609549]",,
Football,Austria,Austria Vienna,Generali Arena (Vienna),"[48.162407849999994, 16.388339237211035]",,
Football,Austria,A. Lustenau,Planet Pure Stadion (Lustenau),"[]",,
Football,Austria,Admira,Datenpol Arena (Maria Enzersdorf),"[48.0975123, 16.31138684909667]",,
Football,Austria,ASK Voitsberg,Munzer Bioindustrie Sportpark Voitsberg (Voitsberg),"[]",,
Football,Austria,Floridsdorfer AC,FAC-Platz (Vienna),"[48.2702021, 16.393814561658296]",,
Football,Austria,Horn,Sparkasse Horn Arena (Horn),"[]",,
Football,Austria,Liefering,Greisbergers Betten-Arena (Grodig),"[]",,
Football,Austria,Stripfing,FAC-Platz (Vienna),"[48.2702021, 16.393814561658296]",,
Football,Austria,Sturm Graz II,Solarstadion Gleisdorf (Gleisdorf),"[47.098237749999996, 15.704819338694833]",,
Football,Austria,Amstetten,Ertl Glas Stadion (Amstetten),"[48.115219800000006, 14.877440854907075]",,
Football,Austria,Bregenz,ImmoAgentur Stadion (Bregenz),"[47.5039654, 9.73341149026594]",,
Football,Austria,First Vienna,Hohe Warte Stadium (Vienna),"[48.248755599999996, 16.359734528062404]",,
Football,Austria,Kapfenberg,Alpenstadion (Kapfenberg),"[47.4439617, 15.3004507]",,
Football,Austria,Lafnitz,Sportplatz Lafnitz (Lafnitz),"[47.370584834672385, 16.014136813657615]",,
Football,Austria,Ried,Innviertel Arena (Ried),"[]",,
Football,Austria,SK Rapid II,Allianz Stadion (Vienna),"[48.19801015, 16.265155732593886]",,
Football,Austria,St. Polten,NV Arena (Sankt Pölten),"[48.22091905, 15.654346559135973]",,
Football,Austria,Marchfeld,Aulandstadion Mannsdorf (Mannsdorf an der Donau),"[]",,
Football,Austria,Leobendorf,Franz Haas Stadion (Leobendorf),"[48.3794321, 16.312711466859266]",,
Football,Austria,Union Gurten,Park21-Arena (Gurten),"[]",,
Football,Austria,Vorwarts Steyr,LIWEST Arena (Steyr),"[48.03756735, 14.410255202917075]",,
Football,Austria,Leoben,Donawitz Stadium (Leoben),"[47.37681175, 15.07882017915746]",,
Football,Austria,Weindorf St. Anna,Stahlbau Muller Arena (Aigen),"[]",,
Football,Austria,A. Salzburg,Max-Aicher-Stadion (Salzburg),"[47.7916412, 13.014079479611688]",,
Football,Austria,Dornbirn,Stadion Birkenwiese (Dornbirn),"[47.4164921, 9.723960462341648]",,
Football,Austria,Saalfelden,1508 SaalfeldenArena (Saalfelden),"[]",,
Football,Austria,SC Imst,VELLY Arena Imst Tirol (Imst),"[]",,
Football,Austria,Drassburg,Sportzentrum Drassburg (Drassburg),"[]",,
Football,Austria,Wiener Neustadt,Stadion Wiener Neustadt (Wiener Neustadt),"[47.8409501, 16.25740396407759]",,
Football,Austria,Grodig,Untersberg-Arena (Grodig),"[]",,
Football,Austria,SV Worgl,Sportstadion Wörgl (Wörgl),"[]",,
Football,Austria,Wacker Innsbruck,Stadion Tivoli NEU (Innsbruck),"[47.255878949999996, 11.412067950229543]",,
Football,Austria,SCR Altach W,Cashpoint-Arena (Altach),"[]",,
Football,Austria,Bergheim W,Sportplatz FC Bergheim (Bergheim),"[50.985397856465006, 6.675739820014943]",,
Football,Austria,St. Polten W,NV Arena (Sankt Pölten),"[48.22091905, 15.654346559135973]",,
Football,Austria,Dornbirn W,Stadion Birkenwiese (Dornbirn),"[47.4164921, 9.723960462341648]",,
Football,Austria,Austria Vienna W,Generali Arena (Vienna),"[48.162407849999994, 16.388339237211035]",,
Football,Austria,Neulengbach W,Vienna Woods Stadium (Neulengbach),"[]",,
Football,Austria,Kleinmunchen W,Hofmann Personal Stadion (Linz),"[48.31623775, 14.299146400091619]",,
Football,Belgium,Westerlo,Het Kuipje (Westerlo),"[]",,
Football,Belgium,Charleroi,Stade du Pays de Charleroi (Charleroi),"[50.4146091, 4.453734529500544]",,
Football,Belgium,Dender,Dender Football Complex (Denderleeuw),"[]",,
Football,Belgium,Beerschot VA,Olympisch Stadion (Antwerp),"[51.18507545, 4.382024587976382]",,
Football,Belgium,Genk,Cegeka Arena (Genk),"[51.00496445, 5.53419244532876]",,
Football,Belgium,St. Liege,Maurice Dufrasnestadion (Liège),"[]",,
Football,Belgium,Royale Union SG,Stade Joseph Marien (Brussels),"[50.8179295, 4.329508218326241]",,
Football,Belgium,Cercle Brugge KSV,Jan Breydel Stadion (Brugge),"[51.1933461, 3.1805852942406156]",,
Football,Belgium,Antwerp,Bosuilstadion (Antwerp),"[51.2325696, 4.471772213133182]",,
Football,Belgium,Club Brugge KV,Jan Breydel Stadion (Brugge),"[51.1933461, 3.1805852942406156]",,
Football,Belgium,Kortrijk,Guldensporen Stadion (Kortrijk),"[]",,
Football,Belgium,KV Mechelen,AFAS-stadion Achter de Kazerne (Mechelen),"[]",,
Football,Belgium,Gent,Planet Group Arena (Gent),"[51.01607545, 3.7325262840243267]",,
Football,Belgium,Leuven,Den Dreef (Heverlee),"[50.8684105, 4.694299362273915]",,
Football,Belgium,Anderlecht,Lotto Park (Anderlecht),"[50.83402025, 4.297854682083333]",,
Football,Belgium,St. Truiden,Daio Wasabi Stayen (Sint-Truiden),"[50.81349745, 5.1661364148363855]",,
Football,Belgium,Club Brugge KV U23,Schiervelde Stadion (Roeselare),"[50.951713, 3.1047552]",,
Football,Belgium,Francs Borains,Stade Robert Urbain (Boussu),"[]",,
Football,Belgium,Eupen,Kehrwegstadion (Eupen),"[]",,
Football,Belgium,RAAL La Louviere,Stade du Tivoli (La Louvière),"[50.47821785, 4.200877455974418]",,
Football,Belgium,Lokeren-Temse,Daknamstadion (Lokeren),"[51.1165539, 3.9873675962025192]",,
Football,Belgium,Patro Eisden,Patrostadion (Maasmechelen),"[]",,
Football,Belgium,K. Lierse S.K.,Herman Vanderpoortenstadion (Lier),"[51.1440102, 4.573964400876413]",,
Football,Belgium,Lommel SK,Soevereinstadion (Lommel),"[51.23955685, 5.307308111291352]",,
Football,Belgium,Anderlecht U23,Lotto Park (Anderlecht),"[50.83402025, 4.297854682083333]",,
Football,Belgium,RWDM,Edmond Machtens Stadium (Brussels),"[50.85507135, 4.310498497359154]",,
Football,Belgium,Waregem,Elindus Arena (Waregem),"[50.8830646, 3.429057665366973]",,
Football,Belgium,Seraing,Stade du Pairay (Seraing),"[50.60064105, 5.503847353227723]",,
Football,Belgium,Beveren,Freethiel Stadion (Beveren),"[51.2141336, 4.24388]",,
Football,Belgium,RFC Liege,Stade de Rocourt (Liège),"[50.66013245, 5.551847043469573]",,
Football,Belgium,Genk U23,Cegeka Arena (Genk),"[51.00496445, 5.53419244532876]",,
Football,Belgium,Virton,Stade Yvan Georges (Virton),"[49.5624836, 5.530969797335653]",,
Football,Belgium,OC Charleroi,Stade de la Neuville (Charleroi),"[50.408686700000004, 4.456920452295824]",,
Football,Belgium,Tubize-Braine,Stade Leburton (Tubize),"[50.6837345, 4.200224797607353]",,
Football,Belgium,St. Liege U23,Stade de la Cite de l’Oie (Visé),"[]",,
Football,Belgium,Heist,Gemeentelijk Sportcentrum (Heist-Op-Den-Berg),"[]",,
Football,Belgium,Knokke,Burgemeester Graaf Leopold Lippens Park (Knokke),"[]",,
Football,Belgium,Dessel,Armand Melis Stadium (Dessel),"[51.23877455, 5.092080372361061]",,
Football,Belgium,Thes Sport,Gemeentelijk Sportpark (Tessenderlo),"[]",,
Football,Belgium,Meux,Stade des Vert et Blanc (La Bruyère),"[]",,
Football,Belgium,KRC Harelbeke,Forestierstadion (Harelbeke),"[50.845495, 3.3092796]",,
Football,Belgium,Westerlo W,Het Kuipje (Westerlo),"[]",,
Football,Bosnia and Herzegovina,FK Sarajevo,Stadion Asim Ferhatović Hase (Sarajevo),"[43.8737045, 18.408447925197414]",,
Football,Bosnia and Herzegovina,GOSK Gabela,Perica Pero Pavlovic (Gabela),"[43.06195275, 17.68286198042268]",,
Football,Bosnia and Herzegovina,Radnik Bijeljina,Gradski stadion Bijeljina (Bijeljina),"[44.754245049999994, 19.22497851169789]",,
Football,Bosnia and Herzegovina,Sloboda,Gradski stadion Tusanj (Tuzla),"[44.54176545, 18.66124353342385]",,
Football,Bosnia and Herzegovina,Sloga Doboj,Stadion Luke (Doboj),"[44.73226055, 18.09398229918733]",,
Football,Bosnia and Herzegovina,Zrinjski,Stadion pod Bijelim Brijegom (Mostar),"[43.34523105, 17.79508528888041]",,
Football,Bosnia and Herzegovina,Borac Banja Luka,Gradski stadion Banja Luka (Banja Luka),"[44.77610475, 17.1996119809425]",,
Football,Bosnia and Herzegovina,Igman K.,Gradski Stadion (Konjic),"[43.659053, 17.949251391862482]",,
Football,Bosnia and Herzegovina,Siroki Brijeg,Stadion Pecara (Široki Brijeg),"[43.378801100000004, 17.598031670181626]",,
Football,Bosnia and Herzegovina,Velez Mostar,Stadion Rodjeni (Mostar),"[]",,
Football,Bosnia and Herzegovina,Zeljeznicar,Stadion Grbavica (Sarajevo),"[43.84657835, 18.38759443328729]",,
Football,Bosnia and Herzegovina,Posusje,Stadion Mokri Dolac (Posušje),"[43.469186949999994, 17.328216224921434]",,
Football,Bosnia and Herzegovina,Banovici,FK Buducnost (Banovici),"[]",,
Football,Bosnia and Herzegovina,Bratstvo Gracanica,Stadion Luke (Gracanica),"[44.727446099999995, 18.279837880219414]",,
Football,Bosnia and Herzegovina,Gorazde,Stadion Midhat Drljevic (Gorazde),"[]",,
Football,Bosnia and Herzegovina,Gradina Srebrenik,Gradski stadion (Srebrenik),"[]",,
Football,Bosnia and Herzegovina,Stupcanica,Danac Stadium (Olovo),"[44.12935265, 18.58732936036978]",,
Football,Bosnia and Herzegovina,TOSK Tesanj,Stadion Luke (Tesanj),"[44.6055552, 17.982931049999998]",,
Football,Bosnia and Herzegovina,Tuzla City,Gradski stadion Tusanj (Tuzla),"[44.54176545, 18.66124353342385]",,
Football,Bosnia and Herzegovina,Gornji Rahic,Harf Arena (Gornji Rahic),"[]",,
Football,Bosnia and Herzegovina,Hadzici,Hadzici City Stadium (Hadzici),"[]",,
Football,Bosnia and Herzegovina,Jedinstvo Bihac,Stadion pod Boricima (Bihac),"[]",,
Football,Bosnia and Herzegovina,Radnicki Lukavac,Stadion Josik (Lukavac),"[]",,
Football,Bosnia and Herzegovina,Tomislav,Gradski stadion Tomislav (Tomislav),"[]",,
Football,Bosnia and Herzegovina,Travnik,Stadion Pirota (Travnik),"[44.2249528, 17.64570348454949]",,
Football,Bosnia and Herzegovina,Celik Zenica,Bilino Polje (Zenica),"[44.20579945, 17.907160616752247]",,
Football,Bosnia and Herzegovina,Gradacac,Stadion Banja Ilidza (Gradacac),"[44.88715945, 18.412665208694627]",,
Football,Bosnia and Herzegovina,Famos Vojkovici,Stadion u centru Vojkovica (Sarajevo),"[]",,
Football,Bulgaria,Botev Plovdiv,Christo Botevstadion (Plovdiv),"[42.140197480808254, 24.764481040580044]",,
Football,Bulgaria,Arda,Arena Arda (Kardzhali),"[41.6411381, 25.37791787440667]",,
Football,Bulgaria,Beroe,Stadion Beroe (Stara Zagora),"[42.43293895, 25.614286182995606]",,
Football,Bulgaria,Cherno More,Ticha (Varna),"[43.20121488573341, 27.917199162277722]",,
Football,Bulgaria,CSKA 1948 Sofia,Bistritsa Stadium (Sofia),"[42.59124415, 23.363266405934013]",,
Football,Bulgaria,Levski Sofia,Vivacom Arena - Georgi Asparuhov Stadium (Sofia),"[42.7053543, 23.363327270172874]",,
Football,Bulgaria,Septemvri Sofia,National Stadium Vasil Levski (Sofia),"[42.6875707, 23.335243058604338]",,
Football,Bulgaria,Slavia Sofia,Stadion Aleksandar Shalamanov (Sofia),"[]",,
Football,Bulgaria,Botev Vratsa,Hristo Botev Stadium (Vraca),"[43.20082225, 23.568687925497024]",,
Football,Bulgaria,CSKA Sofia,National Stadium Vasil Levski (Sofia),"[42.6875707, 23.335243058604338]",,
Football,Bulgaria,Hebar,Stadion Georgi Benkovski (Pazardzhik),"[42.21066365, 24.322752120801287]",,
Football,Bulgaria,Krumovgrad,Nikola Shterev - Starika Sports Complex (Plovdiv),"[]",,
Football,Bulgaria,Lok. Plovdiv,Stadion Lokomotiv (Plovdiv),"[42.1338267, 24.7715657]",,
Football,Bulgaria,Ludogorets,Huvepharma Arena (Razgrad),"[43.5345959, 26.527603783234127]",,
Football,Bulgaria,Spartak Varna,Stadion Spartak (Varna),"[43.2186741, 27.912371830729185]",,
Football,Bulgaria,Lok. Sofia,Stadion Lokomotiv (Sofia),"[42.7375319, 23.314728706638654]",,
Football,Bulgaria,Botev Plovdiv II,Nikola Shterev - Starika Sports Complex (Plovdiv),"[]",,
Football,Bulgaria,CSKA 1948 Sofia II,Tsarsko Selo Sports Complex (Sofia),"[]",,
Football,Bulgaria,Dobrudzha,Druzhba (Dobrich),"[43.556054450000005, 27.826842776508673]",,
Football,Bulgaria,Dunav Ruse,Gradski stadion (Ruse),"[43.848051350000006, 25.963033517122685]",,
Football,Bulgaria,Etar,Ivajlo Stadion (Veliko Tarnovo),"[43.07720705, 25.62016568062997]",,
Football,Bulgaria,Lok. Gorna,Lokomotiv stadium (Gorna Orjahovica),"[43.1236138, 25.680190088479264]",,
Football,Bulgaria,Lovech,Gradski stadion Lovech (Loveč),"[43.14299735, 24.724808824738616]",,
Football,Bulgaria,Marek,Stadion Bonchuk (Dupnitsa),"[]",,
Football,Bulgaria,Pirin Blagoevgrad,Hristo Botev (Blagoevgrad),"[41.88672193763725, 23.478129673957024]",,
Football,Bulgaria,Svoge,Stadion Chavdar Tsvetkov (Svoge),"[42.96206855, 23.35000529793181]",,
Football,Bulgaria,Belasitsa,Stadion Tsar Samuil (Petrich),"[41.3893185, 23.19966715]",,
Football,Bulgaria,CSKA Sofia II,Stadion Dragalevtsi (Sofia),"[42.636990350000005, 23.309077034234647]",,
Football,Bulgaria,Ludogorets II,PFC Ludogorets 1945 Training Centre (Razgrad),"[]",,
Football,Bulgaria,Minyor Pernik,Stadion Minyor (Pernik),"[42.60660195, 23.02335142044307]",,
Football,Bulgaria,Montana,Ogosta Stadium (Montana),"[43.39847975, 23.225345970897692]",,
Football,Bulgaria,Nesebar,Gradski stadion (Nesebar),"[42.666794800000005, 27.70499225]",,
Football,Bulgaria,Spartak Pleven,Stadion Pleven (Pleven),"[43.4125995, 24.608593510171545]",,
Football,Bulgaria,Strumska Slava,Hristo Radovanov Stadium (Radomir),"[]",,
Football,Bulgaria,Yantra Gabrovo,Stadion Hristo Botev (Gabrovo),"[42.86010785, 25.319682102459055]",,
Football,Bulgaria,Fratria,Albena Stadium (Albena),"[]",,
Football,Bulgaria,Maritsa stadium (Plovdiv),"[42.15575165, 24.721028743584515]",,, -- teamnaam ontbreekt hier
Football,Croatia,Osijek,Opus Arena (Osijek),"[45.56652265, 18.65783254815538]",,
Football,Croatia,Gorica,Gradski stadion Velika Gorica (Velika Gorica),"[45.7239895, 16.073115641693107]",,
Football,Croatia,D. Zagreb,Stadion Maksimir (Zagreb),"[45.8186879, 16.01793755418379]",,
Football,Croatia,Rijeka,Stadion HNK Rijeka (Rijeka),"[]",,
Football,Croatia,Sibenik,Stadion Šubićevac (Šibenik),"[43.7440243, 15.895883782165365]",,
Football,Croatia,Hajduk Split,Stadion Poljud (Split),"[43.5181676, 16.4334545]",,
Football,Croatia,Istra 1961,Stadion Aldo Drosina (Pula),"[44.86167925, 13.85134572315878]",,
Football,Croatia,Varazdin,Gradski stadion Varazdin (Varaždin),"[]",,
Football,Croatia,Lok. Zagreb,Stadion u Kranjčevićevoj ulici (Zagreb),"[]",,
Football,Croatia,Slaven Belupo,Gradski stadion Ivan Kusek Apas (Koprivnica),"[46.16674245, 16.835101145942296]",,
Football,Croatia,Sesvete,Stadion ŠRC Sesvete (Sesvete),"[]",,
Football,Croatia,Jarun,Stadion ŠRC Zaprešić (Zaprešić),"[45.8647548, 15.7998926066631]",,
Football,Croatia,Orijent,Stadion Krimeja (Rijeka),"[45.3237158, 14.468411299176786]",,
Football,Croatia,Vukovar 1991,Stadion Borovo naselje (Vukovar),"[45.380431349999995, 18.96528183734961]",,
Football,Croatia,Zrinski Osjecko,Stadion Gradski vrt (Osijek),"[45.545271549999995, 18.69528174161905]",,
Football,Croatia,Croatia Zmijavci,Stadion ŠRC Marijan Šuto Mrma (Zmijavci),"[]",,
Football,Croatia,Opatija,Stadion Kantrida (Rijeka),"[45.3391758, 14.380999519521048]",,
Football,Croatia,Bijelo Brdo,Igralište BSK (Bijelo Brdo),"[45.519400450000006, 18.87407109784977]",,
Football,Croatia,Cibalia,Stadion HNK Cibalia (Vinkovci),"[45.2837545, 18.797237520833335]",,
Football,Croatia,Dubrava,Sportsko rekreacijski Centar Grana Klaka (Zagreb),"[45.837716799999995, 16.05480529137494]",,
Football,Croatia,Rudes,SC Rudes (Zagreb),"[45.8000011, 15.9199844]",,
Football,Croatia,Dugopolje,Stadion Hrvatski Vitezovi (Dugopolje),"[43.58803615, 16.573948599315067]",,
Football,Croatia,Kustosija,Stadion Kustosija (Zagreb),"[45.809213299999996, 15.925685204106392]",,
Football,Croatia,Radnik Krizevci,Gradski stadion Krizevci (Krizevci),"[46.16674245, 16.835101145942296]",,
Football,Croatia,Dragovoljac,Stadion NŠC Stjepan Spajić (Zagreb),"[]",,
Football,Croatia,Karlovac,Stadion Branko Cavlovic-Cavlek (Karlovac),"[45.4844636, 15.563948207009872]",,
Football,Croatia,Solin,Stadion Pokraj Jadra (Solin),"[]",,
Football,Croatia,Jadran LP,NK Jadran (Luka Ploce),"[]",,
Football,Cyprus,Omonia 29th May,Katokopia Stadium (Peristerona),"[]",,
Football,Cyprus,Karmiotissa,Ammochostos Stadium (Larnaca),"[34.9293376, 33.6140765]",,
Football,Cyprus,Apollon,Alphamega Stadium (Kolossi),"[34.6922553, 32.939064687453254]",,
Football,Cyprus,Omonia Aradippou,Antonis Papadopoulos Stadium (Larnaca),"[34.9372538, 33.6207469049146]",,
Football,Cyprus,Pafos,Stelios Kyriakides Stadium (Paphos),"[34.7692366, 32.4411394]",,
Football,Cyprus,Omonia,Neo GSP Stadium (Nicosia),"[]",,
Football,Cyprus,Achnas,Ethnikos Achnas (Achna),"[35.0491365, 33.77335959133584]",,
Football,Cyprus,AEL Limassol,Alphamega Stadium (Kolossi),"[34.6922553, 32.939064687453254]",,
Football,Cyprus,Anorthosis,Antonis Papadopoulos Stadium (Larnaca),"[34.9372538, 33.6207469049146]",,
Football,Cyprus,Paralimni,Paralimni Stadium (Paralimni),"[]",,
Football,Cyprus,Aris,Alphamega Stadium (Kolossi),"[34.6922553, 32.939064687453254]",,
Football,Cyprus,AEK Larnaca,AEK Arena (Larnaca),"[34.9264028, 33.597665820162284]",,
Football,Cyprus,APOEL,Neo GSP Stadium (Nicosia),"[]",,
Football,Cyprus,Nea Salamis,Ammochostos Stadium (Larnaca),"[34.9293376, 33.6140765]",,
Football,Cyprus,PAEEK,Kyrenia - Epistrofi (Strovolos),"[]",,
Football,Cyprus,Chloraka,Stelios Kyriakides Stadium (Paphos),"[34.7692366, 32.4411394]",,
Football,Cyprus,Ol. Nicosia,Neo GSP Stadium (Nicosia),"[]",,
Football,Cyprus,Digenis Akritas,Makario Stadium (Nicosia),"[35.1459095, 33.31424284630744]",,
Football,Cyprus,Doxa,Makario Stadium (Nicosia),"[35.1459095, 33.31424284630744]",,
Football,Cyprus,Zakakiou,Ammochostos Stadium (Larnaca),"[34.9293376, 33.6140765]",,
Football,Czech Republic,Karvina,Town Stadium Karvina (Karvina),"[49.84549986019841, 18.56003892564133]",,
Football,Czech Republic,Ceske Budejovice,Strelecky ostrov (Ceske Budejovice),"[48.968186187755684, 14.467622770686699]",,
Football,Czech Republic,Liberec,Stadion U Nisy (Liberec),"[50.7525076, 15.050036401079618]",,
Football,Czech Republic,Hradec Kralove,Malsovicka arena (Hradec Kralove),"[50.2063223, 15.845392220617764]",,
Football,Czech Republic,Slovacko,Mestsky stadion Miroslava Valenty (Uherske Hradiste),"[49.06553705, 17.471425765290455]",,
Football,Czech Republic,Jablonec,Stadion Strelnice (Jablonec nad Nisou),"[50.71497305, 15.16228990522129]",,
Football,Czech Republic,Slavia Prague,Fortuna Arena (Prague),"[50.0675695, 14.47150521585866]",,
Football,Czech Republic,Sigma Olomouc,Andruv stadion (Olomouc),"[49.6001225, 17.248214982572925]",,
Football,Czech Republic,Mlada Boleslav,Lokotrans Arena (Mlada Boleslav),"[]",,
Football,Czech Republic,Dukla Prague,Stadion Juliska (Prague),"[]",,
Football,Czech Republic,FK Pardubice,CFIG Arena (Pardubice),"[50.04105535, 15.770950694393637]",,
Football,Czech Republic,Plzen,Doosan Arena (Plzen),"[49.7499958, 13.385119617497507]",,
Football,Czech Republic,Bohemians,Dolicek (Prague),"[50.067147, 14.453994400380871]",,
Football,Czech Republic,Ostrava,Mestsky stadion v Ostrave-Vitkovicich (Ostrava),"[49.804363699999996, 18.255840638923523]",,
Football,Czech Republic,Sparta Prague,epet ARENA (Prague),"[50.099712600000004, 14.415891774119114]",,
Football,Czech Republic,Teplice,AGC Arena Na Stinadlech (Teplice),"[50.6398327, 13.818754733179876]",,
Football,Czech Republic,Brno,ADAX INVEST Arena (Brno),"[]",,
Football,Czech Republic,Jihlava,Stadion v Jiraskove ulici (Jihlava),"[]",,
Football,Czech Republic,Opava,Town Stadium Opava (Opava),"[]",,
