Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Basketball,Austria,DBB Wels,Raiffeisen Arena (Wels),"[48.15496008664098, 14.0071824267687]",FCN KFZ Bauer Arena (Wels),DBB LZ OO W
Basketball,Belgium,Brussels Basketball,Complexe Sportif Neder-Over-Heembeek (Brussels),"[50.892937248111686, 4.37694798710484]",Piscine de Neder-Over-Hembeek (Brussels),Circus Brussels
Basketball,Belgium,Hubo Limburg United,Sporthal Alverberg (Hasselt),"[50.93906003900942, 5.321084546007]",Sporthal Alverberg (Hasselt),Limburg
Basketball,Belgium,Union Mons-Hainaut,Mons.Arena (Mons),"[50.45009102433165, 3.8755495320697686]",Mons.Arena (Mons),Belfius Mons
Basketball,Belgium,Mailleux Comblain,Basketball Club Mailleux Comblain (Comblain-au-Pont),"[50.47663569643809, 5.575889665682893]",Salle Omnisports de Comblain (Comblain-au-Pont),None
Basketball,Belgium,Kangoeroes Mechelen,Stedelijke Sporthal Winketkaai (Mechelen),"[51.0332043717458, 4.466684007782978]",Stedelijke Sporthal Winketkaai (Mechelen),Mechelen
Basketball,Belgium,Okapi Aalst,Okapi Forum (Aalst),"[50.93991226931659, 4.054664113944204]",Okapi Forum (Aalst),None
Basketball,Belgium,Leuven Bears,Sportoase (Leuven),"[50.86794975104407, 4.711016126535955]",Sportoase (Leuven),None
Basketball,Belgium,Filou Oostende,Coretec Dôme (Oostende),"[51.21754068066271, 2.8878157812652194]",COREtec Dome (Oostende),Oostende
Basketball,Belgium,Spirou Charleroi,Dôme (Charleroi),"[50.424111779169095, 4.445788490152863]",Dome Charleroi (Charleroi),None
Basketball,Belgium,Kortrijk Spurs,Sportcampus Lange Munte (Kortrijk),"[50.80730927041812, 3.3013305505475743]",Sporthal Lange Munte (Kortrijk),Kortrijk
Basketball,Belgium,Antwerp Giants,Lotto Arena (Antwerp),"[51.230122699999995, 4.441849707846401]",Lotto Arena (Antwerp),None
Basketball,Belgium,SKT Ieper,Stedelijke sporthal Ieper (Ypres),"[50.84431156363346, 2.895522025177057]",None,
Basketball,Belgium,Kangoeroes Mechelen W,Stedelijke Sporthal Winketkaai (Mechelen),"[51.0332043717458, 4.466684007782978]",Stedelijke Sporthal Winketkaai (Mechelen),Mechelen W
Basketball,Belgium,Waregem W,Sporthal De Treffer (Waregem),"[50.88495624667186, 3.429914768777453]",Sportcentrum De Treffer (Waregem),None
Basketball,Belgium,Liège Panthers W,Salle du Bois Saint-Jean (Liège),"[50.57791906445289, 5.549878952262899]",Salle du Bois Saint-Jean (Liège),Liege W
Basketball,Belgium,Spirou Ladies Charleroi W,Salle de la Garenne (Charleroi),"[50.42464789125294, 4.446670118109103]",Complexe Sportif II - Garenne (Charleroi),Charleroi W
Basketball,Belgium,Royal Castors Braine W,Salle Gaston Reiff (Braine-L’Alleud),"[50.67840327632509, 4.386181484538366]",Salle Gaston Reiff (Braine-L’Alleud),Braine W
Basketball,Belgium,Kortrijk Spurs W,Sportcampus Lange Munte (Kortrijk),"[50.80730927041812, 3.3013305505475743]",Sporthal Lange Munte (Kortrijk),Kortrijk W
Basketball,Belgium,Athenas Lummen W,Sportcomplex Vijfsprong (Lummen),"[50.99110387136038, 5.189375849087706]",Sportcomplex Vijfsprong (Lummen),Lummen W
Basketball,Belgium,Basket Namur Capitale Namur W,Hall Octave Henry (Namur),"[50.47554317262496, 4.847128740825173]",Hall Octave Henry (Namur),Namur W
Basketball,Belgium,Phantoms Basket Boom W,Brax-Hall (Boom),"[51.086021626873936, 4.384542806469656]",Braxhall (Boom),Phantoms W
Basketball,Belgium,Amon Jeugd Gentson W,BBC Amon Jeugd Gentson (Gent),"[51.04221288579102, 3.7137576132666967]",BBC Amon Jeugd Gentson (Gent),Jeugd Gentson W
Basketball,Belgium,LDP Donza W,OntmoetingsCentrum en Sporthal Polderbos (De Pinte),"[50.99139371601978, 3.6446222812964053]",Gemeentelijke Sporthal Laarne (Laarne),Donza W
Basketball,Belgium,Basketball Brunehaut W,Brunehall (Brunehaut),"[50.51553293746506, 3.4195713935572174]",Brunehall (Brunehaut),Brunehaut W
